City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,telciu,47.4333,24.4,59.7,86,24,3.36,RO,1723084859
1,adamstown,-25.066,-130.1015,67.05,65,94,3.91,PN,1723084355
2,alotau,-10.3069,150.4462,82.17,70,79,6.89,PG,1723084861
3,isafjordur,66.0755,-23.124,44.15,87,100,2.1,IS,1723084758
4,guna,24.65,77.3167,74.08,99,100,5.01,IN,1723084863
5,blackmans bay,-43.0167,147.3167,55.72,65,100,3.0,AU,1723084353
6,bay city,43.5945,-83.8889,64.62,76,0,5.75,US,1723084816
7,grytviken,-54.2811,-36.5092,13.98,74,21,10.47,GS,1723084354
8,lazaro cardenas,17.9583,-102.2,82.6,80,100,7.81,MX,1723084844
9,bilibino,68.0546,166.4372,58.41,37,16,10.74,RU,1723084815
10,lancaster,40.2504,-76.2499,67.28,92,100,10.36,US,1723084872
11,nuuk,64.1835,-51.7216,39.81,100,100,5.75,GL,1723084873
12,west island,-12.1568,96.8225,82.38,69,20,14.97,CC,1723084387
13,jamestown,42.097,-79.2353,67.64,88,100,8.05,US,1723084589
14,bethel,41.3712,-73.414,65.55,89,99,2.19,US,1723084174
15,st. john's,47.5649,-52.7093,62.78,91,0,18.41,CA,1723084201
16,punta arenas,-53.15,-70.9167,35.71,80,100,10.36,CL,1723084501
17,ankazoabo,-22.2833,44.5167,60.91,74,0,3.0,MG,1723084880
18,ribeira grande,38.5167,-28.7,72.77,80,0,8.01,PT,1723084356
19,bredasdorp,-34.5322,20.0403,46.67,95,0,4.59,ZA,1723084429
20,camapua,-19.5314,-54.0439,71.24,36,4,0.76,BR,1723084883
21,tofol,5.3248,163.0078,84.13,71,54,9.48,FM,1723084884
22,tiksi,71.6872,128.8694,43.97,92,100,3.15,RU,1723084347
23,petropavlovsk-kamchatsky,53.0452,158.6483,79.39,47,75,13.42,RU,1723084887
24,albany,42.6001,-73.9662,65.44,78,2,4.18,US,1723084112
25,edinburgh of the seven seas,-37.0676,-12.3116,48.54,53,100,24.32,SH,1723084372
26,castillos,-34.1667,-53.8333,45.66,83,35,7.0,UY,1723084890
27,alofi,-19.0595,-169.9187,76.89,61,40,17.27,NU,1723084891
28,kawm umbu,24.4767,32.9463,90.01,31,100,3.42,EG,1723084893
29,sinop,41.7711,34.8709,59.79,90,0,2.82,TR,1723084894
30,salmon arm,50.6998,-119.3024,83.52,34,8,1.14,CA,1723084895
31,waitangi,-43.9535,-176.5597,53.82,73,32,7.0,NZ,1723084448
32,happy valley-goose bay,53.3168,-60.3315,53.91,94,75,5.75,CA,1723084897
33,port-aux-francais,-49.35,70.2167,33.06,96,100,24.79,TF,1723084225
34,georgetown,5.4112,100.3354,85.93,68,20,6.91,MY,1723084206
35,ilulissat,69.2167,-51.1,39.22,100,100,0.0,GL,1723084451
36,panaba,21.2833,-88.2667,76.95,91,37,5.44,MX,1723084902
37,dubbo,-32.25,148.6167,62.73,63,75,13.8,AU,1723084903
38,hawaiian paradise park,19.5933,-154.9731,81.91,73,100,11.5,US,1723084443
39,puerto natales,-51.7236,-72.4875,32.45,80,75,2.3,CL,1723084266
40,praia da vitoria,38.7333,-27.0667,71.85,83,40,4.79,PT,1723084907
41,kavaratti,10.5669,72.642,80.78,84,100,11.92,IN,1723084908
42,udachny,66.4167,112.4,72.68,47,100,20.4,RU,1723084909
43,hanzhong,33.0728,107.0303,82.76,80,100,5.08,CN,1723084344
44,lompoc,34.6391,-120.4579,72.7,73,0,12.66,US,1723084911
45,holualoa,19.6228,-155.9522,77.56,77,26,4.88,US,1723084912
46,luderitz,-26.6481,15.1594,49.86,83,0,5.99,NA,1723084790
47,wailea,19.8858,-155.123,81.63,84,100,11.5,US,1723084915
48,keflavik,64.0049,-22.5624,48.63,93,0,6.91,IS,1723084916
49,haiku-pauwela,20.9219,-156.3051,83.21,71,20,26.46,US,1723084918
50,tamiahua,21.2667,-97.45,80.6,87,14,7.92,MX,1723084919
51,stanley,54.868,-1.6985,56.28,84,0,8.05,GB,1723084832
52,invercargill,-46.4,168.35,48.02,79,59,8.01,NZ,1723084809
53,laguna,38.421,-121.4238,93.69,33,0,9.22,US,1723084923
54,avarua,-21.2078,-159.775,75.25,60,20,10.36,CK,1723084775
55,wailua homesteads,22.0669,-159.378,83.19,71,20,14.97,US,1723084814
56,san patricio,28.017,-97.5169,87.69,62,0,12.26,US,1723084364
57,tazacorte,28.629,-17.9293,74.37,86,20,14.97,ES,1723084927
58,rajula,21.05,71.4333,81.97,77,100,13.44,IN,1723084929
59,road town,18.4167,-64.6167,82.44,78,20,9.22,VG,1723084930
60,jiazi,22.8779,116.067,87.3,76,13,17.96,CN,1723084931
61,port mathurin,-19.6833,63.4167,72.14,74,17,12.41,MU,1723084382
62,tshela,-4.9833,12.9333,64.58,95,9,1.92,CD,1723084933
63,mejit,10.2753,170.8646,81.84,76,94,8.39,MH,1723084434
64,afaahiti,-17.75,-149.2833,80.06,82,6,17.38,PF,1723084936
65,peterhead,57.5058,-1.7981,54.0,77,49,13.91,GB,1723084937
66,ar rahad,12.7167,30.65,76.21,81,100,11.86,SD,1723084938
67,port saint john's,-31.6229,29.5448,64.08,32,0,6.91,ZA,1723084416
68,iqaluit,63.7506,-68.5145,46.13,76,20,3.44,CA,1723084224
69,chonchi,-42.6128,-73.8092,40.21,97,22,1.14,CL,1723084941
70,vadso,70.0744,29.7487,54.48,71,0,4.61,NO,1723084943
71,mata-utu,-13.2816,-176.1745,78.35,71,100,22.1,WF,1723084944
72,kegen,43.0197,79.2203,68.5,34,2,4.14,KZ,1723084945
73,ta`u,-14.2336,-169.5144,77.25,77,81,21.7,AS,1723084946
74,chernyshevskiy,63.0128,112.4714,72.41,46,32,7.74,RU,1723084947
75,soio,-6.1349,12.3689,69.58,86,47,7.4,AO,1723084948
76,lebu,-37.6167,-73.65,42.87,90,8,6.87,CL,1723084351
77,dampit,-8.2116,112.7493,81.36,63,45,8.28,ID,1723084951
78,chibougamau,49.9168,-74.3659,55.02,88,40,0.0,CA,1723084952
79,kitimat,54.0524,-128.6534,89.98,62,1,5.99,CA,1723084953
80,amungan,15.3652,119.9582,84.54,75,79,7.4,PH,1723084954
81,thompson,55.7435,-97.8558,59.16,63,75,5.75,CA,1723084851
82,ebon,4.582,168.6964,80.96,75,100,1.59,MH,1723084957
83,villa gesell,-37.2639,-56.973,48.06,94,100,13.06,AR,1723084706
84,kununurra,-15.7667,128.7333,87.78,27,2,13.8,AU,1723084410
85,college,64.8569,-147.8028,77.32,55,98,3.38,US,1723084833
86,san luis de la loma,17.2706,-100.8939,81.59,84,100,8.95,MX,1723084356
87,kodiak,57.79,-152.4072,60.31,77,40,4.61,US,1723084871
88,pangkalanbuun,-2.6833,111.6167,86.32,63,57,4.38,ID,1723084964
89,vorgashor,67.5833,63.95,51.85,59,26,3.8,RU,1723084375
90,cameta,-2.2444,-49.4958,78.78,73,13,6.08,BR,1723084966
91,olonkinbyen,70.9221,-8.7187,41.68,100,100,8.81,SJ,1723084967
92,callao,-12.0667,-77.15,61.72,77,100,6.91,PE,1723084968
93,yellowknife,62.456,-114.3525,70.32,37,20,11.5,CA,1723084794
94,port elizabeth,-33.918,25.5701,57.49,95,20,11.5,ZA,1723084971
95,puerto ayora,-0.7393,-90.3518,66.54,97,86,7.0,EC,1723084275
96,tazovsky,67.4667,78.7,49.37,70,52,12.3,RU,1723084764
97,nantucket,41.2835,-70.0995,64.54,90,0,5.75,US,1723084969
98,dudinka,69.4058,86.1778,56.91,49,10,21.88,RU,1723084367
99,pathein,16.7833,94.7333,79.3,89,100,3.87,MM,1723084976
100,stellenbosch,-33.9346,18.8668,55.6,86,32,7.74,ZA,1723084977
101,margaret river,-33.95,115.0667,59.29,65,100,13.6,AU,1723084835
102,mitsamiouli,-11.3847,43.2844,76.12,69,33,6.46,KM,1723084980
103,bulungu,-4.55,18.6,73.2,45,31,2.57,CD,1723084981
104,warmbad,-28.45,18.7333,48.33,62,2,4.27,NA,1723084983
105,lihue,21.9789,-159.3672,83.79,63,20,14.97,US,1723084985
106,utrik,11.2278,169.8474,82.65,78,20,13.27,MH,1723084829
107,ryotsu-minato,38.0833,138.4333,80.49,70,1,3.18,JP,1723084987
108,recani,31.2846,-4.2688,90.16,14,56,7.0,MA,1723084988
109,praia,14.9215,-23.5087,77.54,83,75,17.27,CV,1723084989
110,kayangel,8.0823,134.7173,83.98,75,93,12.03,PW,1723084990
